,M_1,M_2,M_3,M_4,M_5,M_6,M_7,M_8,M_9,M_10,M_11
MHC1,0,0,0,0,1,-1,0,0,0,0,0
Peptide1,1,-1,0,0,0,0,0,0,0,0,0
Peptide2,0,1,-1,0,0,0,0,0,0,0,0
Peptide3,0,0,1,-1,0,0,0,0,0,0,0
Peptide4,0,0,0,1,0,0,-1,0,0,0,0
Peptide5,0,0,0,0,0,0,1,-1,0,0,0
Peptide6,0,0,0,0,0,-1,0,1,0,0,0
PeptideMHC1Complex1,0,0,0,0,0,1,0,0,-1,0,0
PeptideMHC1Complex2,0,0,0,0,0,0,0,0,1,-1,0
PeptideMHC1Complex3,0,0,0,0,0,0,0,0,0,1,-1
