,M_1,M_2,M_3,M_4,M_5,M_6,M_7,M_8
MHC1,0,0,0,1,-1,0,0,0
Peptide1,1,-1,-1,0,0,0,0,0
Peptide2,0,0,1,0,-1,0,0,0
Peptide MHC1 Complex1,0,0,0,0,1,-1,0,0
Peptide MHC1 Complex2,0,0,0,0,0,1,-1,0
Peptide MHC1 Complex3,0,0,0,0,0,0,1,-1
