epoch: 01, loss1: 1302.35290527, loss2: 1928.69665527, loss3: 6604.12011719, loss4: 4206.13232422, loss: 14041.30273438. 
epoch: 02, loss1: 1330.37133789, loss2: 1770.29321289, loss3: 6526.12109375, loss4: 3968.35620117, loss: 13595.14160156. 
epoch: 03, loss1: 1363.22277832, loss2: 1611.81787109, loss3: 6448.72558594, loss4: 3729.57080078, loss: 13153.33593750. 
epoch: 04, loss1: 1400.54699707, loss2: 1453.22326660, loss3: 6371.73535156, loss4: 3494.13354492, loss: 12719.63964844. 
epoch: 05, loss1: 1441.71423340, loss2: 1294.46691895, loss3: 6294.62646484, loss4: 3265.70458984, loss: 12296.51171875. 
epoch: 06, loss1: 1485.76403809, loss2: 1135.51477051, loss3: 6216.50146484, loss4: 3047.33984375, loss: 11885.12011719. 
epoch: 07, loss1: 1531.11523438, loss2: 976.34625244, loss3: 6135.67333984, loss4: 2845.05786133, loss: 11488.19238281. 
epoch: 08, loss1: 1575.47900391, loss2: 816.95269775, loss3: 6049.77539062, loss4: 2663.12451172, loss: 11105.33203125. 
epoch: 09, loss1: 1615.73999023, loss2: 657.34423828, loss3: 5955.32275391, loss4: 2507.26782227, loss: 10735.67480469. 
epoch: 10, loss1: 1648.27819824, loss2: 497.54418945, loss3: 5848.53125000, loss4: 2380.51928711, loss: 10374.87304688. 
epoch: 11, loss1: 1670.38720703, loss2: 337.57363892, loss3: 5727.88427734, loss4: 2282.07568359, loss: 10017.92089844. 
epoch: 12, loss1: 1680.78747559, loss2: 177.48498535, loss3: 5594.12500000, loss4: 2208.46704102, loss: 9660.86425781. 
epoch: 13, loss1: 1679.38513184, loss2: 18.68869019, loss3: 5448.96337891, loss4: 2155.46752930, loss: 9302.50488281. 
epoch: 14, loss1: 1666.93469238, loss2: 0.00000000, loss3: 5295.00683594, loss4: 2119.16992188, loss: 9081.11132812. 
