,M_10,M_11,M_12,M_13,M_14,M_15,M_16,M_17,M_18,M_20,M_23,M_24,M_25,M_26,M_27,M_28,M_31,M_32,M_33,M_34,M_35,M_36,M_38,M_42
sample_0665,0.46874267,0.35066286,0.38865784,0.46537971,0.292773,0.5262275,0.6778834,0.8422543,0.614538,0.42044094,0.29714632,0.36156118,0.42782593,0.47998276,0.25470293,0.3049603,0.27341112,0.0046610776,0.60411805,0.5784255,0.29998246,0.28759885,0.47938204,0.24428028
sample_0666,0.53658324,0.4926789,0.51518154,0.46339473,0.2835293,0.63092566,0.6430094,0.8406373,0.6126076,0.44474423,0.525187,0.35754985,0.42782265,0.479442,0.27620915,0.304938,0.27451286,0.012284185,0.6058627,0.93777776,0.3071714,0.22421435,1.3061001,0.44349986
sample_0667,0.46821496,0.33674723,0.38721523,0.4654225,0.29301503,0.5251676,0.6952593,0.8266866,0.6145961,0.41917053,0.281143,0.3617531,0.4278261,0.48006693,0.25316945,0.3049607,0.27343512,0.009050133,0.6040819,0.504124,0.2995708,0.2939685,0.3983695,0.23032859
sample_0668,0.4713999,0.3248158,0.4001967,0.46272337,0.29332104,0.5393033,0.62156045,0.88457966,0.61417294,0.42419598,0.36512566,0.3606371,0.42782566,0.47971225,0.2550981,0.3049581,0.2734964,0.008118931,0.6042459,0.9262061,0.30175436,0.2628638,0.70926136,0.30660236
sample_0669,0.46922255,0.42766404,0.38873023,0.4660546,0.28975287,0.52852833,0.65836596,0.8364239,0.6144894,0.42153618,0.31069595,0.36136234,0.42782608,0.47992295,0.25408125,0.30495995,0.270976,0.0115707675,0.60412055,0.6713652,0.30041823,0.28261566,0.4808545,0.2550258
sample_0670,0.47129083,0.3183106,0.4029258,0.4644145,0.29379857,0.538485,0.62133896,0.8879211,0.6141822,0.42431685,0.36319023,0.36067694,0.42782572,0.47971725,0.2524065,0.30495882,0.27342117,0.008864967,0.604232,0.91916203,0.3016724,0.26333922,0.67141443,0.30530116
sample_0671,0.4692524,0.43459696,0.39194304,0.46439075,0.28995106,0.52876484,0.65396285,0.8488066,0.6144655,0.42200282,0.31639493,0.36128208,0.42782584,0.4798984,0.25289202,0.30495974,0.26120678,0.008214929,0.6041288,0.6997113,0.30058575,0.28042,0.5283462,0.2598993
sample_0672,0.46750984,0.29440206,0.38338363,0.4652879,0.29411396,0.5220918,0.73036253,0.8057037,0.6146701,0.41811347,0.25579473,0.36203843,0.42782608,0.48021853,0.25106072,0.30496126,0.27341336,0.009079776,0.604048,0.38916177,0.2989035,0.3043897,0.30775166,0.20931667
sample_0673,0.5635667,0.5085799,0.5577628,0.4643421,0.27518523,0.70884836,0.6271852,0.9244667,0.611305,0.4546932,0.60767573,0.35570428,0.4278223,0.47941184,0.28677928,0.30492118,0.27502763,0.01462595,0.6057147,1.100797,0.3100261,0.20469439,1.2976679,0.52152896
sample_0674,0.46913287,0.5292411,0.3906287,0.46501333,0.28951183,0.529238,0.65198404,0.84806275,0.6144685,0.42179516,0.31651258,0.3612699,0.42782596,0.47990003,0.25404984,0.3049599,0.23297304,0.012207299,0.604139,0.7092698,0.30062756,0.28001204,0.4901061,0.25962242
sample_0675,0.5382088,0.5307547,0.5253073,0.46630645,0.25063,0.6982893,0.63415205,0.9232516,0.61213213,0.44846082,0.5606069,0.35670674,0.4278207,0.47942278,0.27631485,0.30492908,0.2739485,0.023782294,0.606745,1.024187,0.30855006,0.21588665,1.3429263,0.47464225
sample_0676,0.5412062,0.5183398,0.51562464,0.46400246,0.26334926,0.67604786,0.6363499,0.90856653,0.61214453,0.44696563,0.5592886,0.3567676,0.42782116,0.47942337,0.275636,0.30493304,0.2251249,0.008388063,0.6061344,1.0066049,0.3084883,0.21429032,1.4552625,0.47490966
sample_0677,0.486725,0.34977782,0.44489622,0.46592075,0.290509,0.5699062,0.6814478,0.8461919,0.6139075,0.43130434,0.4005409,0.36006802,0.4278251,0.479617,0.26154706,0.30495104,0.27378052,0.00990394,0.6046017,0.6469671,0.30282176,0.25783628,0.76836693,0.33374986
sample_0678,0.5743474,0.56468517,0.6099377,0.46438673,0.22735754,0.82923824,0.61489016,0.9675828,0.6103037,0.4603615,0.6638999,0.35422423,0.42781934,0.47941896,0.29453936,0.30488697,0.2742983,0.008795159,0.60674495,1.2500556,0.31228265,0.19249138,1.7153642,0.5732743
