,M_10,M_11,M_12,M_13,M_14,M_15,M_16,M_17,M_18,M_20,M_23,M_24,M_25,M_26,M_27,M_28,M_31,M_32,M_33,M_34,M_35,M_36,M_38,M_42
sample_1371,0.05458427,0.08140308,0.1278385,0.23958862,0.0189209,0.1635292,0.13363919,0.20878899,0.10265302,0.16565862,0.12135609,0.024849322,0.065608844,0.21836719,0.019394651,0.09371728,0.29922137,0.009154765,0.25305218,0.15819152,0.29720053,0.1234197,0.3834954,0.2232165
sample_1372,0.020713575,0.08044481,0.11601886,0.23863772,0.038711477,0.13080266,0.13355279,0.20805521,0.10224171,0.16538325,0.12171075,0.024750054,0.24456224,0.21780443,0.023958258,0.03344144,0.299601,0.0050329557,0.25218996,0.15905173,0.29727173,0.12324155,0.38832822,0.22282305
sample_1373,0.00513795,0.08134912,0.12186629,0.23889948,0.017171703,0.1313413,0.13357101,0.2082814,0.10230735,0.16551393,0.12163928,0.024774045,0.20032957,0.21790291,0.021423394,0.03124629,0.30007017,0.0015808102,0.25217614,0.15885186,0.29725203,0.12328785,0.3864929,0.2228932
sample_1374,0.061013095,0.08158302,0.1293548,0.23971342,0.016836714,0.16812162,0.13365616,0.20894243,0.102725156,0.1656838,0.12129528,0.024866004,0.04024964,0.21846525,0.018790685,0.10053703,0.2990659,0.010596154,0.253229,0.15802819,0.29718888,0.12344864,0.38271952,0.22328483
sample_1375,0.0016435683,0.08077493,0.121447675,0.23911044,0.023640558,0.13974781,0.13356696,0.20812735,0.10230897,0.16541046,0.12164244,0.024771564,0.21744251,0.21790141,0.021636978,0.023623392,0.30019614,0.0011542244,0.252213,0.15888934,0.29725415,0.12329054,0.3875673,0.22289494
sample_1376,0.03409209,0.081217274,0.124103524,0.23958899,0.01755731,0.15577073,0.13360476,0.20849782,0.102490865,0.16557258,0.121485844,0.02481532,0.13984156,0.21815015,0.020848766,0.06008113,0.30010897,0.0004670499,0.25273058,0.15851264,0.29722282,0.12336859,0.3847179,0.22306874
sample_1377,0.05709573,0.081232026,0.12859502,0.23969242,0.023515996,0.16539761,0.13364556,0.20891595,0.102687515,0.16566657,0.121328995,0.024856132,0.05383125,0.21841274,0.019041158,0.09468232,0.29912493,0.010092914,0.2531297,0.15813075,0.29719606,0.12343242,0.38321543,0.22324856
sample_1378,0.0076823533,0.08003544,0.12110965,0.23910914,0.04504328,0.148387,0.13358398,0.20833479,0.10241058,0.16544856,0.121572964,0.024786342,0.19551265,0.2180305,0.02156856,0.03525494,0.29930362,0.009581901,0.2527558,0.15874732,0.29724687,0.12330823,0.3867776,0.22298165
sample_1379,0.04884833,0.08105219,0.12763394,0.23961101,0.029075159,0.1623629,0.13363335,0.20873477,0.102634236,0.16567217,0.12137598,0.024842698,0.07728624,0.21833919,0.019462936,0.08194926,0.29915065,0.009920573,0.25301185,0.15825292,0.29720584,0.12340824,0.38345012,0.22319706
sample_1380,0.061013095,0.08158302,0.1293548,0.23971342,0.016836714,0.16812162,0.13365616,0.20894243,0.102725156,0.1656838,0.12129528,0.024866004,0.04024964,0.21846525,0.018790685,0.10053703,0.2990659,0.010596155,0.253229,0.15802819,0.29718888,0.12344864,0.38271952,0.22328483
